,AF3,AF4,T7,T8,PZ
0,4277.435897,4271.282051,4271.794871,4270.769230,4265.641025
1,4292.307692,4283.076923,4298.461538,4281.025641,4285.128205
2,4280.512820,4280.000000,4298.461538,4276.410256,4285.128205
3,4287.692307,4284.102564,4300.512820,4298.461538,4290.256410
4,4306.666666,4288.717948,4301.025641,4315.897435,4300.000000
5,4291.282051,4280.000000,4277.948717,4276.410256,4290.256410
6,4286.666666,4292.820512,4281.538461,4272.820512,4294.358974
7,4281.538461,4277.948717,4283.589743,4275.897435,4283.589743
8,4291.794871,4266.153846,4297.435897,4269.743589,4281.025641
9,4304.615384,4275.384615,4305.128205,4281.025641,4280.512820
10,4295.384615,4275.384615,4283.076923,4292.307692,4266.666666
11,4297.435897,4289.743589,4282.051282,4301.025641,4274.358974
12,4284.615384,4280.512820,4273.846153,4262.051282,4263.589743
13,4293.333333,4277.435897,4288.205128,4255.384615,4265.641025
14,4312.307692,4294.358974,4311.794871,4304.615384,4285.641025
15,4290.769230,4278.461538,4285.128205,4312.820512,4271.794871
16,4292.307692,4281.538461,4282.051282,4301.025641,4276.923076
17,4299.487179,4292.307692,4287.179487,4270.769230,4285.128205
18,4295.897435,4289.230769,4283.589743,4266.666666,4280.512820
19,4300.000000,4282.051282,4286.153846,4292.820512,4275.897435
20,4286.666666,4263.589743,4263.589743,4281.025641,4257.435897
21,4289.230769,4282.051282,4275.384615,4283.076923,4267.179487
22,4288.717948,4296.410256,4292.820512,4287.179487,4274.358974
23,4289.743589,4283.076923,4287.692307,4273.333333,4273.333333
24,4292.307692,4281.538461,4291.282051,4272.307692,4281.538461
25,4265.128205,4272.820512,4280.512820,4261.025641,4268.717948
26,4275.384615,4282.051282,4281.538461,4269.230769,4273.333333
27,4291.282051,4284.102564,4285.641025,4274.358974,4276.923076
28,4284.615384,4277.435897,4287.692307,4264.615384,4271.794871
29,4294.358974,4295.384615,4299.487179,4280.512820,4282.564102
30,4292.820512,4299.487179,4291.282051,4288.717948,4276.410256
31,4296.923076,4303.076923,4293.846153,4290.769230,4280.000000
32,4292.820512,4291.282051,4284.615384,4272.820512,4278.461538
33,4293.333333,4289.230769,4278.461538,4264.102564,4271.794871
34,4317.948717,4323.076923,4304.102564,4298.974358,4289.230769
35,4305.641025,4311.282051,4302.564102,4301.538461,4280.512820
36,4308.205128,4306.153846,4310.769230,4294.871794,4281.025641
37,4323.076923,4318.461538,4311.794871,4286.666666,4289.230769
38,4311.794871,4303.589743,4292.307692,4273.333333,4282.564102
39,4322.564102,4311.282051,4305.128205,4298.974358,4296.923076
40,4315.897435,4310.769230,4290.769230,4296.410256,4283.589743
41,4311.794871,4312.820512,4299.487179,4285.641025,4276.923076
42,4323.589743,4318.461538,4331.794871,4285.641025,4289.230769
43,4314.358974,4298.974358,4308.205128,4254.871794,4273.333333
44,4312.307692,4298.974358,4289.743589,4260.000000,4270.256410
45,4303.076923,4295.897435,4295.384615,4285.128205,4273.333333
46,4306.666666,4301.025641,4313.846153,4297.435897,4289.230769
47,4311.794871,4311.794871,4313.333333,4285.641025,4299.487179
48,4304.615384,4306.153846,4290.769230,4267.692307,4280.512820
49,4326.666666,4323.076923,4304.615384,4304.102564,4283.076923
50,4315.384615,4312.307692,4302.564102,4315.384615,4273.333333
51,4295.897435,4297.435897,4291.794871,4295.897435,4265.128205
52,4310.256410,4317.948717,4305.641025,4285.641025,4280.512820
53,4308.717948,4315.897435,4301.025641,4264.102564,4278.461538
