,AF3,AF4,T7,T8,PZ
0,4265.128205,4323.589743,4350.769230,4286.153846,4308.205128
1,4262.051282,4316.923076,4312.307692,4262.051282,4293.846153
2,4270.256410,4328.717948,4297.948717,4267.179487,4296.410256
3,4262.564102,4322.564102,4314.871794,4282.564102,4298.461538
4,4258.461538,4322.564102,4307.692307,4284.102564,4288.205128
5,4260.000000,4322.051282,4290.256410,4265.128205,4273.846153
6,4235.897435,4291.282051,4290.769230,4247.179487,4255.897435
7,4238.461538,4297.435897,4315.384615,4278.461538,4269.230769
8,4243.589743,4310.256410,4308.205128,4282.564102,4277.435897
9,4241.538461,4309.743589,4302.564102,4257.435897,4270.256410
10,4252.307692,4323.589743,4317.435897,4273.846153,4272.307692
11,4250.256410,4318.461538,4300.512820,4292.307692,4273.333333
12,4260.000000,4317.435897,4299.487179,4289.743589,4291.282051
13,4259.487179,4310.769230,4308.205128,4275.384615,4291.794871
14,4250.769230,4304.102564,4314.358974,4292.307692,4286.153846
15,4260.512820,4320.000000,4322.051282,4312.820512,4302.051282
16,4249.230769,4316.410256,4307.692307,4272.820512,4299.487179
17,4241.025641,4308.205128,4315.897435,4263.076923,4294.358974
18,4230.769230,4291.282051,4293.846153,4274.358974,4277.435897
19,4227.692307,4285.641025,4269.230769,4251.794871,4266.666666
20,4244.102564,4308.717948,4307.692307,4244.615384,4288.717948
21,4236.410256,4294.871794,4303.589743,4260.512820,4283.076923
22,4240.512820,4284.102564,4291.794871,4284.615384,4277.435897
23,4235.384615,4290.256410,4310.769230,4263.076923,4280.512820
24,4209.743589,4270.769230,4314.358974,4235.384615,4273.846153
25,4220.000000,4263.589743,4315.384615,4272.307692,4282.564102
26,4225.641025,4266.153846,4288.717948,4281.025641,4280.000000
27,4227.692307,4277.948717,4278.461538,4254.871794,4281.025641
28,4226.153846,4273.846153,4292.307692,4249.230769,4282.051282
29,4215.384615,4257.948717,4297.948717,4256.410256,4272.307692
30,4229.743589,4265.641025,4306.153846,4257.948717,4281.025641
31,4218.461538,4241.025641,4281.538461,4232.307692,4269.230769
32,4201.538461,4233.846153,4278.461538,4238.974358,4264.615384
33,4203.076923,4252.820512,4305.641025,4267.692307,4277.435897
34,4201.538461,4239.487179,4306.153846,4262.564102,4272.820512
35,4221.538461,4244.102564,4307.692307,4272.820512,4277.435897
36,4212.307692,4237.435897,4298.974358,4261.025641,4270.256410
37,4194.358974,4217.435897,4297.948717,4235.384615,4261.025641
38,4198.974358,4215.897435,4297.948717,4234.358974,4262.564102
39,4190.769230,4224.615384,4275.897435,4232.820512,4255.897435
40,4204.615384,4254.358974,4293.846153,4261.538461,4278.974358
41,4208.717948,4248.205128,4306.153846,4276.923076,4290.256410
42,4198.974358,4227.179487,4293.333333,4261.025641,4277.435897
43,4205.128205,4246.153846,4293.846153,4264.615384,4279.487179
44,4208.205128,4253.333333,4291.282051,4274.358974,4282.051282
45,4221.025641,4254.871794,4309.230769,4280.000000,4294.871794
46,4207.179487,4240.000000,4313.846153,4255.897435,4290.769230
47,4188.205128,4229.230769,4310.256410,4252.307692,4281.025641
48,4203.589743,4255.897435,4317.948717,4281.538461,4297.435897
49,4204.615384,4254.871794,4298.974358,4283.076923,4295.897435
50,4218.974358,4249.743589,4302.564102,4289.743589,4291.794871
51,4226.666666,4256.410256,4314.871794,4295.384615,4282.564102
52,4213.333333,4261.538461,4313.333333,4279.487179,4269.230769
