,AF3,AF4,T7,T8,PZ
0,4315.897435,4296.923076,4294.358974,4271.794871,4240.000000
1,4300.000000,4285.128205,4291.794871,4250.256410,4261.538461
2,4301.025641,4284.102564,4302.051282,4255.384615,4266.666666
3,4313.846153,4291.794871,4294.358974,4283.589743,4253.333333
4,4308.717948,4289.743589,4289.743589,4277.435897,4275.384615
5,4315.897435,4303.589743,4307.179487,4282.564102,4247.692307
6,4306.153846,4296.410256,4290.256410,4289.743589,4257.948717
7,4303.076923,4291.282051,4286.153846,4293.333333,4267.692307
8,4302.564102,4292.820512,4287.692307,4286.153846,4251.794871
9,4289.743589,4281.538461,4280.512820,4272.820512,4274.358974
10,4301.025641,4290.256410,4302.564102,4276.923076,4258.461538
11,4290.769230,4288.205128,4289.743589,4260.512820,4269.230769
12,4284.102564,4280.512820,4283.589743,4265.641025,4275.384615
13,4293.333333,4276.923076,4300.512820,4284.615384,4248.205128
14,4293.846153,4270.256410,4278.461538,4277.948717,4266.666666
15,4308.205128,4285.641025,4282.564102,4285.128205,4251.794871
16,4287.692307,4266.666666,4292.820512,4265.128205,4248.717948
17,4270.256410,4248.717948,4285.641025,4252.307692,4254.358974
18,4290.769230,4270.256410,4285.641025,4273.846153,4242.564102
19,4293.333333,4270.769230,4277.948717,4260.512820,4280.000000
20,4297.435897,4270.256410,4276.923076,4265.641025,4266.666666
21,4293.333333,4264.102564,4273.333333,4289.230769,4265.641025
22,4291.282051,4267.179487,4285.641025,4296.410256,4289.743589
23,4300.000000,4286.666666,4296.410256,4293.846153,4258.974358
24,4284.102564,4267.692307,4275.384615,4271.282051,4263.589743
25,4292.820512,4259.487179,4270.256410,4281.025641,4251.282051
26,4305.641025,4268.205128,4265.128205,4287.179487,4249.230769
27,4300.512820,4268.717948,4278.461538,4262.564102,4270.256410
28,4303.076923,4266.153846,4303.589743,4260.000000,4242.051282
29,4298.461538,4256.923076,4287.179487,4266.153846,4262.051282
30,4313.333333,4276.410256,4292.820512,4277.435897,4265.641025
31,4314.871794,4283.589743,4290.769230,4275.384615,4250.769230
32,4297.435897,4272.307692,4268.205128,4271.794871,4264.615384
33,4297.948717,4268.717948,4285.128205,4276.410256,4242.051282
34,4282.051282,4243.076923,4280.000000,4246.666666,4253.333333
35,4288.205128,4256.410256,4276.923076,4247.179487,4252.307692
36,4297.948717,4279.487179,4282.564102,4274.358974,4238.974358
37,4284.102564,4262.564102,4260.512820,4278.974358,4254.358974
38,4296.410256,4264.615384,4267.179487,4285.128205,4234.871794
39,4299.487179,4272.307692,4286.666666,4271.282051,4261.025641
40,4297.435897,4281.025641,4302.051282,4276.923076,4265.641025
41,4296.923076,4273.333333,4306.153846,4285.641025,4243.076923
42,4289.743589,4253.846153,4294.871794,4267.179487,4273.846153
43,4298.974358,4276.410256,4295.897435,4279.487179,4253.846153
44,4291.794871,4276.923076,4287.179487,4274.358974,4245.128205
45,4296.923076,4267.179487,4290.769230,4262.564102,4247.179487
46,4300.512820,4271.794871,4292.820512,4272.307692,4231.282051
47,4282.051282,4254.358974,4279.487179,4267.179487,4255.897435
48,4301.025641,4262.564102,4282.051282,4273.333333,4232.820512
49,4303.076923,4272.820512,4265.128205,4254.871794,4236.410256
50,4290.769230,4268.205128,4275.384615,4248.717948,4261.025641
51,4292.307692,4263.076923,4288.205128,4270.256410,4234.871794
52,4275.384615,4245.641025,4253.333333,4256.410256,4245.128205
53,4280.512820,4250.769230,4262.564102,4257.948717,4234.871794
54,4282.564102,4253.846153,4271.282051,4272.307692,4235.384615
55,4274.358974,4251.282051,4257.948717,4271.282051,4251.282051
56,4278.974358,4254.871794,4275.384615,4266.153846,4240.512820
57,4267.179487,4243.589743,4282.564102,4255.897435,4277.435897
58,4268.717948,4248.717948,4273.846153,4270.256410,4269.743589
59,4267.692307,4244.102564,4250.256410,4268.205128,4260.000000
60,4267.692307,4245.641025,4258.461538,4259.487179,4287.179487
61,4285.128205,4271.794871,4296.410256,4286.153846,4269.230769
62,4276.923076,4260.512820,4285.641025,4285.641025,4269.743589
63,4276.410256,4253.333333,4283.076923,4271.794871,4249.230769
64,4282.051282,4266.153846,4288.205128,4262.564102,4252.820512
65,4286.666666,4282.051282,4278.974358,4267.179487,4290.256410
66,4295.897435,4293.846153,4284.615384,4294.871794,4261.538461
67,4277.948717,4273.333333,4278.461538,4283.589743,4272.307692
68,4284.615384,4280.512820,4292.820512,4278.974358,4285.128205
69,4298.974358,4290.256410,4301.538461,4295.897435,4283.076923
70,4286.153846,4273.333333,4276.923076,4286.153846,4300.512820
71,4284.615384,4280.512820,4281.538461,4277.435897,4264.102564
72,4278.974358,4281.538461,4297.435897,4276.923076,4267.692307
73,4292.820512,4285.641025,4306.666666,4304.102564,4267.179487
74,4303.589743,4289.743589,4303.076923,4320.000000,4244.102564
